sub,condition,repetition,window,amplitude_uV,n_epochs
021,active,1,P2,3.8950741334816033,38
021,active,1,P3,1.8199752702824816,38
021,active,2,N1,5.202108779230586,31
021,active,2,P2,3.8288171785383365,31
021,active,2,P3,1.6309488009599822,31
021,active,3,N1,5.141553166442165,33
021,active,3,P2,4.274228584939047,33
021,active,3,P3,2.6911719526634883,33
021,active,4,N1,4.360735386285038,31
021,active,4,P2,3.7069071125170883,31
021,active,4,P3,1.7145825193717874,31
021,passive,1,N1,5.733707183622513,36
021,passive,1,P2,5.108870942461101,36
021,passive,1,P3,2.5167070854399167,36
021,passive,2,N1,6.628702694258492,36
021,passive,2,P2,4.812423124716013,36
021,passive,2,P3,3.469254859252595,36
021,passive,3,N1,3.432350437257447,35
021,passive,3,P2,2.98297176800024,35
021,passive,3,P3,1.874561803169671,35
021,passive,4,N1,3.486760997958675,37
021,passive,4,P2,3.198454746411322,37
021,passive,4,P3,2.1488812779998416,37
022,active,1,N1,9.3707948798231,38
022,active,1,P2,12.301273357254395,38
022,active,1,P3,9.556390141752143,38
022,active,2,N1,6.327198965900049,39
022,active,2,P2,9.843216441582053,39
022,active,2,P3,8.288858623579182,39
022,active,3,N1,7.94104897073747,39
022,active,3,P2,11.061139214029096,39
022,active,3,P3,9.630315384766249,39
022,active,4,N1,7.780589116537774,39
022,active,4,P2,12.177512327915538,39
022,active,4,P3,9.819328617440517,39
022,passive,1,N1,10.05484333181427,39
022,passive,1,P2,13.362211989685253,39
022,passive,1,P3,9.942375517571012,39
022,passive,2,N1,7.5430941508632445,39
022,passive,2,P2,11.474197392642644,39
022,passive,2,P3,9.3339336387132,39
022,passive,3,N1,6.667261064052748,39
022,passive,3,P2,12.160772118034512,39
022,passive,3,P3,9.64892089638876,39
022,passive,4,N1,7.90837211235046,39
022,passive,4,P2,12.00583232721122,39
022,passive,4,P3,9.641979356435494,39
024,active,1,N1,1.324251859223619,39
024,active,1,P2,1.730204216033325,39
024,active,1,P3,4.958146603737335,39
024,active,2,N1,1.3356841487312765,39
024,active,2,P2,3.7916883312465504,39
024,active,2,P3,5.511815158834391,39
024,active,3,N1,3.8909816356490583,39
024,active,3,P2,3.7716026082814698,39
024,active,3,P3,6.959654880195444,39
024,active,4,N1,5.058921566894725,39
024,active,4,P2,5.741304813521905,39
024,active,4,P3,9.08337848539371,39
024,passive,1,N1,2.5799427129988333,39
024,passive,1,P2,2.017910244948009,39
024,passive,1,P3,4.192321122128417,39
024,passive,2,N1,2.126776580218485,39
024,passive,2,P2,1.9840444060472833,39
024,passive,2,P3,2.35099332375316,39
024,passive,3,N1,2.0248569928590823,36
024,passive,3,P2,1.1145639574473831,36
024,passive,3,P3,2.459383890030315,36
024,passive,4,N1,2.390505680099749,39
024,passive,4,P2,2.8159336050334036,39
024,passive,4,P3,4.991615746203724,39
025,active,1,N1,9.21941962663751,39
025,active,1,P2,11.180731367002126,39
025,active,1,P3,12.2877804632795,39
025,active,2,N1,10.420979537937207,39
025,active,2,P2,14.183767818124648,39
025,active,2,P3,14.006696585840855,39
025,active,3,N1,11.932965798930415,39
025,active,3,P2,15.960519955002948,39
025,active,3,P3,14.529409668607677,39
025,active,4,N1,12.524788644742692,39
025,active,4,P2,16.432564718178032,39
025,active,4,P3,14.556504077054415,39
025,passive,1,N1,9.416209688129458,39
025,passive,1,P2,11.505543876450897,39
025,passive,1,P3,11.29381275318138,39
025,passive,2,N1,10.675167743796406,39
025,passive,2,P2,12.68262775973839,39
025,passive,2,P3,12.564132020683482,39
025,passive,3,N1,9.245896850026812,39
025,passive,3,P2,12.50958029222704,39
025,passive,3,P3,11.287734637318195,39
025,passive,4,N1,11.697131310004949,39
025,passive,4,P2,15.355335988885246,39
025,passive,4,P3,12.693515479032058,39
026,active,1,N1,4.839740942535146,30
026,active,1,P2,8.131704954176069,30
026,active,1,P3,6.5337598284681775,30
026,active,2,N1,5.244221386681356,34
026,active,2,P2,8.254591469403412,34
026,active,2,P3,5.565816719337728,34
026,active,3,N1,3.6029945580818596,34
026,active,3,P2,8.956216100208566,34
026,active,3,P3,6.804992573913129,34
026,active,4,N1,4.521839317923517,31
026,active,4,P2,8.570529065512636,31
026,active,4,P3,7.669682035642226,31
026,passive,1,N1,6.2646427312122945,36
026,passive,1,P2,9.329686042314597,36
026,passive,1,P3,7.140957932639818,36
026,passive,2,N1,4.012904874798333,31
026,passive,2,P2,7.249966362819641,31
026,passive,2,P3,6.380938042045934,31
026,passive,3,N1,4.913021964595648,37
026,passive,3,P2,9.040440677097585,37
026,passive,3,P3,7.037887144285622,37
026,passive,4,N1,4.737193017632264,37
026,passive,4,P2,7.7164297200066185,37
026,passive,4,P3,6.730369166187192,37
