sub,condition,window,cluster,amplitude_uV
017,passive,P1,posterior,8.125
017,passive,P1,parietal,0.023
017,passive,P1,frontal,-5.468
017,passive,N1,occipital,28.764
017,passive,N1,posterior,25.912
017,passive,N1,parietal,6.481
017,passive,N1,frontal,-11.398
017,passive,P2,occipital,32.016
017,passive,P2,posterior,29.896
017,passive,P2,parietal,7.043
017,passive,P2,frontal,-13.91
017,passive,P3,occipital,20.896
017,passive,P3,posterior,20.597
017,passive,P3,parietal,2.626
017,passive,P3,frontal,-13.613
017,passive,Late,occipital,13.345
017,passive,Late,posterior,13.505
017,passive,Late,parietal,1.027
017,passive,Late,frontal,-8.404
018,active,P1,occipital,1.675
018,active,P1,posterior,1.736
018,active,P1,parietal,-0.12
018,active,P1,frontal,-2.32
018,active,N1,occipital,4.926
018,active,N1,posterior,4.995
018,active,N1,parietal,2.758
018,active,N1,frontal,-2.35
018,active,P2,occipital,10.432
018,active,P2,posterior,10.619
018,active,P2,parietal,6.619
018,active,P2,frontal,-5.76
018,active,P3,occipital,8.106
018,active,P3,posterior,8.793
018,active,P3,parietal,5.233
018,active,P3,frontal,-7.159
018,active,Late,occipital,3.324
018,active,Late,posterior,4.415
018,active,Late,parietal,2.3
018,active,Late,frontal,-4.055
018,passive,P1,occipital,1.441
018,passive,P1,posterior,1.084
018,passive,P1,parietal,-1.287
018,passive,P1,frontal,-1.826
018,passive,N1,occipital,3.912
018,passive,N1,posterior,3.713
018,passive,N1,parietal,1.108
018,passive,N1,frontal,-1.588
018,passive,P2,occipital,9.115
018,passive,P2,posterior,8.95
018,passive,P2,parietal,4.477
018,passive,P2,frontal,-5.445
018,passive,P3,occipital,7.034
018,passive,P3,posterior,7.159
018,passive,P3,parietal,2.545
018,passive,P3,frontal,-7.724
018,passive,Late,occipital,3.064
018,passive,Late,posterior,3.387
018,passive,Late,parietal,0.13
018,passive,Late,frontal,-4.519
019,active,P1,occipital,-6.452
019,active,P1,posterior,-2.593
019,active,P1,parietal,-3.149
019,active,P1,frontal,-2.159
019,active,N1,occipital,4.146
019,active,N1,posterior,-0.423
019,active,N1,parietal,-5.692
019,active,N1,frontal,-6.703
019,active,P2,occipital,8.761
019,active,P2,posterior,4.126
019,active,P2,parietal,-5.28
019,active,P2,frontal,-9.824
019,active,P3,occipital,2.543
019,active,P3,posterior,0.531
019,active,P3,parietal,-7.643
019,active,P3,frontal,-13.745
019,active,Late,occipital,-1.003
019,active,Late,posterior,-2.623
019,active,Late,parietal,-9.157
019,active,Late,frontal,-12.842
019,passive,P1,occipital,-8.559
019,passive,P1,posterior,-4.724
019,passive,P1,parietal,-4.625
019,passive,P1,frontal,-0.677
019,passive,N1,occipital,3.622
019,passive,N1,posterior,-0.638
019,passive,N1,parietal,-6.803
019,passive,N1,frontal,-7.669
019,passive,P2,occipital,9.46
019,passive,P2,posterior,4.787
019,passive,P2,parietal,-5.414
019,passive,P2,frontal,-10.079
019,passive,P3,occipital,2.313
019,passive,P3,posterior,0.291
019,passive,P3,parietal,-8.54
019,passive,P3,frontal,-13.312
019,passive,Late,occipital,0.49
019,passive,Late,posterior,-1.283
019,passive,Late,parietal,-7.822
019,passive,Late,frontal,-10.095
020,active,P1,occipital,4.033
020,active,P1,posterior,2.475
020,active,P1,parietal,-6.203
020,active,P1,frontal,-11.325
020,active,N1,occipital,19.951
020,active,N1,posterior,13.041
020,active,N1,parietal,-5.506
020,active,N1,frontal,-23.09
020,active,P2,occipital,16.577
020,active,P2,posterior,12.155
020,active,P2,parietal,-7.876
020,active,P2,frontal,-30.249
020,active,P3,occipital,12.614
020,active,P3,posterior,10.283
020,active,P3,parietal,-7.822
020,active,P3,frontal,-28.846
020,active,Late,occipital,11.235
020,active,Late,posterior,9.845
020,active,Late,parietal,-1.827
020,active,Late,frontal,-18.11
020,passive,P1,occipital,2.05
020,passive,P1,posterior,-0.394
020,passive,P1,parietal,-8.266
020,passive,P1,frontal,-11.428
020,passive,N1,occipital,16.302
020,passive,N1,posterior,8.534
020,passive,N1,parietal,-7.828
020,passive,N1,frontal,-21.678
020,passive,P2,occipital,13.626
020,passive,P2,posterior,8.839
020,passive,P2,parietal,-8.603
020,passive,P2,frontal,-27.305
020,passive,P3,occipital,10.926
020,passive,P3,posterior,7.731
020,passive,P3,parietal,-8.175
020,passive,P3,frontal,-26.105
020,passive,Late,occipital,8.75
020,passive,Late,posterior,6.72
020,passive,Late,parietal,-3.376
020,passive,Late,frontal,-15.848
021,active,P1,occipital,3.725
021,active,P1,posterior,3.995
021,active,P1,parietal,-1.349
021,active,P1,frontal,-8.753
021,active,N1,occipital,4.713
021,active,N1,posterior,4.914
021,active,N1,parietal,1.361
021,active,N1,frontal,-5.183
021,active,P2,occipital,3.977
021,active,P2,posterior,3.846
021,active,P2,parietal,-1.743
021,active,P2,frontal,-10.037
021,active,P3,occipital,2.205
021,active,P3,posterior,1.84
021,active,P3,parietal,-2.901
021,active,P3,frontal,-8.176
021,active,Late,occipital,-0.754
021,active,Late,posterior,-1.238
021,active,Late,parietal,-4.373
021,active,Late,frontal,-5.358
021,passive,P1,occipital,4.035
021,passive,P1,posterior,4.446
021,passive,P1,parietal,-0.426
021,passive,P1,frontal,-7.337
021,passive,N1,occipital,4.562
021,passive,N1,posterior,4.976
021,passive,N1,parietal,2.044
021,passive,N1,frontal,-4.411
021,passive,P2,occipital,3.963
021,passive,P2,posterior,4.066
021,passive,P2,parietal,-0.577
021,passive,P2,frontal,-7.529
021,passive,P3,occipital,2.623
021,passive,P3,posterior,2.433
021,passive,P3,parietal,-0.965
021,passive,P3,frontal,-5.132
021,passive,Late,occipital,0.78
021,passive,Late,posterior,0.41
021,passive,Late,parietal,-1.242
021,passive,Late,frontal,-1.934
022,active,P1,occipital,3.138
022,active,P1,posterior,4.616
