subject,condition,cluster,window,n,mean_amp_uv
009,constant,posterior,lambda,812,1.349506
009,constant,posterior,P1_frp,812,1.07249
009,constant,posterior,N1_frp,812,1.168396
009,constant,posterior,P2_frp,812,-0.417424
009,constant,posterior,Late_frp,812,-1.041212
009,constant,parietal,lambda,812,-0.771062
009,constant,parietal,P1_frp,812,-0.621354
009,constant,parietal,N1_frp,812,1.692026
009,constant,parietal,P2_frp,812,-0.390246
009,constant,parietal,Late_frp,812,0.176683
009,constant,frontal,lambda,812,-3.12804
009,constant,frontal,P1_frp,812,-2.423546
009,constant,frontal,N1_frp,812,0.598489
009,constant,frontal,P2_frp,812,-0.694554
009,constant,frontal,Late_frp,812,0.822392
010,active,occipital,lambda,1016,0.436477
010,active,occipital,P1_frp,1016,-0.288601
010,active,occipital,N1_frp,1016,1.346802
010,active,occipital,P2_frp,1016,0.200546
010,active,occipital,Late_frp,1016,-0.38976
010,active,posterior,lambda,1016,-0.620467
010,active,posterior,P1_frp,1016,-0.427547
010,active,posterior,N1_frp,1016,1.927317
010,active,posterior,P2_frp,1016,0.218964
010,active,posterior,Late_frp,1016,-0.271085
010,active,parietal,lambda,1016,-2.456843
010,active,parietal,P1_frp,1016,-1.52914
010,active,parietal,N1_frp,1016,2.321919
010,active,parietal,P2_frp,1016,0.334409
010,active,parietal,Late_frp,1016,0.313733
010,active,frontal,lambda,1016,-2.692366
010,active,frontal,P1_frp,1016,-1.99208
010,active,frontal,N1_frp,1016,1.153414
010,active,frontal,P2_frp,1016,0.318634
010,active,frontal,Late_frp,1016,1.481701
010,passive,occipital,lambda,1152,0.025058
010,passive,occipital,P1_frp,1152,-0.48005
010,passive,occipital,N1_frp,1152,0.978061
010,passive,occipital,P2_frp,1152,0.000806
010,passive,occipital,Late_frp,1152,-0.488897
010,passive,posterior,lambda,1152,-0.897892
010,passive,posterior,P1_frp,1152,-0.558419
010,passive,posterior,N1_frp,1152,1.600562
010,passive,posterior,P2_frp,1152,0.03408
010,passive,posterior,Late_frp,1152,-0.303554
010,passive,parietal,lambda,1152,-2.49884
010,passive,parietal,P1_frp,1152,-1.629105
010,passive,parietal,N1_frp,1152,2.138157
010,passive,parietal,P2_frp,1152,-0.020442
010,passive,parietal,Late_frp,1152,0.063274
010,passive,frontal,lambda,1152,-2.645271
010,passive,frontal,P1_frp,1152,-2.375536
010,passive,frontal,N1_frp,1152,0.910781
010,passive,frontal,P2_frp,1152,-0.389157
010,passive,frontal,Late_frp,1152,0.783828
010,constant,occipital,lambda,1168,-0.467406
010,constant,occipital,P1_frp,1168,-0.593572
010,constant,occipital,N1_frp,1168,1.06753
010,constant,occipital,P2_frp,1168,0.144842
010,constant,occipital,Late_frp,1168,-0.490968
010,constant,posterior,lambda,1168,-1.288117
010,constant,posterior,P1_frp,1168,-0.781119
010,constant,posterior,N1_frp,1168,1.404805
010,constant,posterior,P2_frp,1168,0.034431
010,constant,posterior,Late_frp,1168,-0.534499
010,constant,parietal,lambda,1168,-2.495801
010,constant,parietal,P1_frp,1168,-1.710122
010,constant,parietal,N1_frp,1168,1.697549
010,constant,parietal,P2_frp,1168,-0.142228
010,constant,parietal,Late_frp,1168,-0.494604
010,constant,frontal,lambda,1168,-1.982514
010,constant,frontal,P1_frp,1168,-1.858082
010,constant,frontal,N1_frp,1168,0.456489
010,constant,frontal,P2_frp,1168,-0.698578
010,constant,frontal,Late_frp,1168,-0.14197
011,active,occipital,lambda,586,5.054081
011,active,occipital,P1_frp,586,4.349248
011,active,occipital,N1_frp,586,-0.781845
011,active,occipital,P2_frp,586,-0.393988
011,active,occipital,Late_frp,586,-1.20857
011,active,posterior,lambda,586,1.884373
011,active,posterior,P1_frp,586,3.399033
011,active,posterior,N1_frp,586,0.446137
011,active,posterior,P2_frp,586,-0.568996
011,active,posterior,Late_frp,586,-1.424112
011,active,parietal,lambda,586,-2.446034
011,active,parietal,P1_frp,586,0.199568
011,active,parietal,N1_frp,586,1.638969
011,active,parietal,P2_frp,586,-0.470433
011,active,parietal,Late_frp,586,-0.537123
011,active,frontal,lambda,586,-3.360821
011,active,frontal,P1_frp,586,-2.134629
011,active,frontal,N1_frp,586,1.527481
011,active,frontal,P2_frp,586,0.093806
011,active,frontal,Late_frp,586,0.742524
011,passive,occipital,lambda,618,4.635504
011,passive,occipital,P1_frp,618,4.767502
011,passive,occipital,N1_frp,618,-1.195566
011,passive,occipital,P2_frp,618,-0.315018
011,passive,occipital,Late_frp,618,-1.584333
011,passive,posterior,lambda,618,1.790134
011,passive,posterior,P1_frp,618,3.739118
011,passive,posterior,N1_frp,618,0.169828
011,passive,posterior,P2_frp,618,-0.477853
011,passive,posterior,Late_frp,618,-1.709174
011,passive,parietal,lambda,618,-1.959297
011,passive,parietal,P1_frp,618,0.444831
